Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,TIME_DETAIL,Value
2004,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,,,Y,2019,60.3
2005,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,,,Y,2019,61.0
2006,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,,,Y,2019,61.7
2007,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,,,Y,2019,62.4
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,,,Y,2019,62.4
2009,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,,,Y,2019,63.8
2010,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,,,Y,2019,64.5
2011,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,,,Y,2019,65.2
2012,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,,,Y,2019,66.7
2013,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,,,Y,2019,67.6
2014,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,,,Y,2019,68.3
2015,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,,,Y,2019,69.1
2016,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,,,Y,2019,69.9
2017,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,,,Y,2019,70.6
2018,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,,,Y,2019,70.6
2019,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,,,Y,2019,75.5
1998,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,,U,Y,2019,60.0
2019,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,,U,Y,2019,75.6
1998,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,,R,Y,2019,55.8
2019,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,,R,Y,2019,74.5
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH01,F,,Y,2008,67.9
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH01,M,,Y,2008,64.0
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH01,,,Y,2008,65.9
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH02,F,,Y,2008,67.2
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH02,M,,Y,2008,63.3
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH02,,,Y,2008,65.2
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH03,F,,Y,2008,66.7
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH03,M,,Y,2008,62.9
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH03,,,Y,2008,64.8
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH04,F,,Y,2008,68.6
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH04,M,,Y,2008,64.7
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH04,,,Y,2008,66.6
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH05,F,,Y,2008,63.8
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH05,M,,Y,2008,60.0
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH05,,,Y,2008,61.8
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH06,F,,Y,2008,64.7
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH06,M,,Y,2008,60.9
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH06,,,Y,2008,62.8
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH07,F,,Y,2008,62.1
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH07,M,,Y,2008,58.5
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH07,,,Y,2008,60.2
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH08,F,,Y,2008,67.1
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH08,M,,Y,2008,63.2
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH08,,,Y,2008,65.1
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH23,F,,Y,2008,65.0
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH23,M,,Y,2008,61.2
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH23,,,Y,2008,63.0
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH09,F,,Y,2008,60.9
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH09,M,,Y,2008,57.3
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH09,,,Y,2008,59.1
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH10,F,,Y,2008,60.5
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH10,M,,Y,2008,57.0
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH10,,,Y,2008,58.7
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH11,F,,Y,2008,45.5
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH11,M,,Y,2008,52.5
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH11,,,Y,2008,44.0
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH22,F,,Y,2008,60.8
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH22,M,,Y,2008,57.2
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH22,,,Y,2008,59.0
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH24,F,,Y,2008,64.2
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH24,M,,Y,2008,60.4
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH24,,,Y,2008,62.3
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH12,F,,Y,2008,70.8
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH12,M,,Y,2008,66.8
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH12,,,Y,2008,68.8
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH18,F,,Y,2008,54.4
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH18,M,,Y,2008,51.3
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH18,,,Y,2008,52.8
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH13,F,,Y,2008,43.4
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH13,M,,Y,2008,40.5
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH13,,,Y,2008,41.9
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH14,F,,Y,2008,65.7
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH14,M,,Y,2008,61.9
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH14,,,Y,2008,63.8
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH15,F,,Y,2008,65.1
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH15,M,,Y,2008,61.4
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH15,,,Y,2008,63.2
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH16,F,,Y,2008,35.0
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH16,M,,Y,2008,32.5
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH16,,,Y,2008,33.7
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH17,F,,Y,2008,70.0
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH17,M,,Y,2008,66.1
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH17,,,Y,2008,68.7
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH19,F,,Y,2008,54.6
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH19,M,,Y,2008,51.5
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH19,,,Y,2008,53.0
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH20,F,,Y,2008,58.8
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH20,M,,Y,2008,55.3
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH20,,,Y,2008,57.0
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH21,F,,Y,2008,64.3
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH21,M,,Y,2008,60.5
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH21,,,Y,2008,62.4
2019,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,F,U,Y,2019,77.7
2019,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,F,R,Y,2019,76.4
2019,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,M,R,Y,2019,72.8
2019,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,M,U,Y,2019,73.5
