Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
1996,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,4320
1997,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,2298
1998,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,2150
1999,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,1153
2000,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,858
2001,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,826
2002,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,847
2003,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,772
2004,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,898
2005,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,875
2006,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,450
2007,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,352
2008,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,271
2009,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,244
2010,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,286
2011,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,211
2012,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,186
2013,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,111
2014,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,154
2015,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,111
2016,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,83
2017,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,58
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,58
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,77
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,65
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Preah Vihear,Number,2020,8
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Preah Vihear,Number,2020,6
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Preah Vihear,Number,2020,12
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Kampong Thom,Number,2020,0
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Kampong Thom,Number,2020,0
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Kampong Thom,Number,2020,3
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Pursat,Number,2020,3
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Pursat,Number,2020,3
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Pursat,Number,2020,10
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Prey Veng,Number,2020,0
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Prey Veng,Number,2020,0
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Prey Veng,Number,2020,0
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Kampong Speu,Number,2020,11
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Kampong Speu,Number,2020,0
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Kampong Speu,Number,2020,0
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Kep,Number,2020,0
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Kep,Number,2020,0
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Kep,Number,2020,0
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Ratanak Kiri,Number,2020,2
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Ratanak Kiri,Number,2020,12
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Ratanak Kiri,Number,2020,0
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Koh Kong,Number,2020,1
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Koh Kong,Number,2020,1
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Koh Kong,Number,2020,0
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Kampong Chhnang,Number,2020,2
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Kampong Chhnang,Number,2020,0
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Kampong Chhnang,Number,2020,0
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Phnom Penh,Number,2020,1
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Phnom Penh,Number,2020,4
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Phnom Penh,Number,2020,0
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Battambang,Number,2020,8
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Battambang,Number,2020,11
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Battambang,Number,2020,19
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Tboung Khmum,Number,2020,1
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Tboung Khmum,Number,2020,14
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Tboung Khmum,Number,2020,2
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Kampot,Number,2020,0
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Kampot,Number,2020,0
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Kampot,Number,2020,0
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Mondul Kiri,Number,2020,2
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Mondul Kiri,Number,2020,1
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Mondul Kiri,Number,2020,1
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Svay Rieng,Number,2020,0
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Svay Rieng,Number,2020,2
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Svay Rieng,Number,2020,0
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Banteay Meanchey,Number,2020,3
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Banteay Meanchey,Number,2020,6
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Banteay Meanchey,Number,2020,7
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Stung Treng,Number,2020,0
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Stung Treng,Number,2020,0
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Stung Treng,Number,2020,1
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Kratie,Number,2020,3
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Kratie,Number,2020,3
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Kratie,Number,2020,4
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Takeo,Number,2020,0
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Takeo,Number,2020,0
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Takeo,Number,2020,0
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Oddar Meanchey,Number,2020,5
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Oddar Meanchey,Number,2020,6
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Oddar Meanchey,Number,2020,3
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Pailin,Number,2020,1
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Pailin,Number,2020,2
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Pailin,Number,2020,2
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Kampong Cham,Number,2020,2
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Kampong Cham,Number,2020,2
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Kampong Cham,Number,2020,0
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Kandal,Number,2020,2
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Kandal,Number,2020,3
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Kandal,Number,2020,1
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Preah Sihanouk,Number,2020,0
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Preah Sihanouk,Number,2020,0
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Preah Sihanouk,Number,2020,0
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Siemreap,Number,2020,3
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Siemreap,Number,2020,1
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Siemreap,Number,2020,0
