Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Time period details,Value
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,Male,,Percent,2019-2020,36.6
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,Male,,Percent,2019-2020,38.8
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,Male,,Percent,2019-2020,38.4
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,,,Percent,2019-2020,41.8
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,,,Percent,2019-2020,42.1
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,,,Percent,2019-2020,37.4
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,,,Percent,2019-2020,34.9
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,,,Percent,2019-2020,35.2
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,,,Percent,2019-2020,35.2
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,,,Percent,2019-2020,34.2
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,,,Percent,2019-2020,39.8
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,,,Percent,2019-2020,42.3
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,,,Percent,2019-2020,45.4
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,,,Percent,2019-2020,44.3
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,Female,,Percent,2019-2020,54.5
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,Female,,Percent,2019-2020,51.8
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,Female,,Percent,2019-2020,48.6
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,Female,,Percent,2019-2020,43.8
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,Female,,Percent,2019-2020,44.4
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,Female,,Percent,2019-2020,47.7
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,Female,,Percent,2019-2020,46.9
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,Female,,Percent,2019-2020,52.5
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,Female,,Percent,2019-2020,55.3
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,Female,,Percent,2019-2020,53.5
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,Female,,Percent,2019-2020,51.2
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,Male,,Percent,2019-2020,56.3
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,Male,,Percent,2019-2020,16.9
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,Male,,Percent,2019-2020,48.0
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,Male,,Percent,2019-2020,45.8
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,Male,,Percent,2019-2020,42.9
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,Male,,Percent,2019-2020,45.7
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,Male,,Percent,2019-2020,44.9
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,Male,,Percent,2019-2020,48.4
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,Male,,Percent,2019-2020,48.1
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,Male,,Percent,2019-2020,44.7
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,Male,,Percent,2019-2020,40.8
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,,,Percent,2019-2020,55.4
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,,,Percent,2019-2020,24.6
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,,,Percent,2019-2020,48.3
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,,,Percent,2019-2020,44.8
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,,,Percent,2019-2020,43.6
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,,,Percent,2019-2020,46.7
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,,,Percent,2019-2020,45.8
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,,,Percent,2019-2020,50.4
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,,,Percent,2019-2020,51.6
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,,,Percent,2019-2020,48.9
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampot,,,Percent,2019-2020,45.8
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,Female,,Percent,2019-2020,55.6
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,Female,,Percent,2019-2020,58.1
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,Female,,Percent,2019-2020,50.0
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,Female,,Percent,2019-2020,46.8
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,Female,,Percent,2019-2020,45.6
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,Female,,Percent,2019-2020,46.1
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,Female,,Percent,2019-2020,45.9
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,Female,,Percent,2019-2020,51.0
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,Female,,Percent,2019-2020,53.1
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,Female,,Percent,2019-2020,53.6
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,Female,,Percent,2019-2020,52.8
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,Male,,Percent,2019-2020,59.1
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,Male,,Percent,2019-2020,61.2
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,Male,,Percent,2019-2020,51.4
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,Male,,Percent,2019-2020,56.2
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,Male,,Percent,2019-2020,45.2
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,Male,,Percent,2019-2020,43.5
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,Male,,Percent,2019-2020,40.1
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,Male,,Percent,2019-2020,43.0
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,Male,,Percent,2019-2020,41.9
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,Male,,Percent,2019-2020,41.1
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,Male,,Percent,2019-2020,41.6
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,,,Percent,2019-2020,57.4
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,,,Percent,2019-2020,59.7
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,,,Percent,2019-2020,50.7
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,,,Percent,2019-2020,51.3
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,,,Percent,2019-2020,45.4
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,,,Percent,2019-2020,44.8
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,,,Percent,2019-2020,42.9
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,,,Percent,2019-2020,46.8
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,,,Percent,2019-2020,47.3
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,,,Percent,2019-2020,47.1
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kandal,,,Percent,2019-2020,47.0
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,Female,,Percent,2019-2020,54.9
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,Female,,Percent,2019-2020,55.8
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,Female,,Percent,2019-2020,48.4
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,Female,,Percent,2019-2020,46.1
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,Female,,Percent,2019-2020,40.2
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,Female,,Percent,2019-2020,36.6
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,Female,,Percent,2019-2020,41.0
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,Female,,Percent,2019-2020,42.0
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,Female,,Percent,2019-2020,39.1
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,Female,,Percent,2019-2020,34.5
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,Female,,Percent,2019-2020,31.2
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,Male,,Percent,2019-2020,50.8
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,Male,,Percent,2019-2020,47.6
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,Male,,Percent,2019-2020,41.4
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,Male,,Percent,2019-2020,36.7
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,Male,,Percent,2019-2020,37.2
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,Male,,Percent,2019-2020,35.6
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,Male,,Percent,2019-2020,34.7
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,Male,,Percent,2019-2020,34.2
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,Male,,Percent,2019-2020,33.5
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,Male,,Percent,2019-2020,32.9
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,Male,,Percent,2019-2020,25.1
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,,,Percent,2019-2020,52.8
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,,,Percent,2019-2020,51.4
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,,,Percent,2019-2020,44.8
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,,,Percent,2019-2020,41.2
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,,,Percent,2019-2020,38.6
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,,,Percent,2019-2020,36.1
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,,,Percent,2019-2020,37.7
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,,,Percent,2019-2020,37.9
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,,,Percent,2019-2020,36.2
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,,,Percent,2019-2020,33.6
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kep,,,Percent,2019-2020,28.0
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,Female,,Percent,2019-2020,40.4
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,Female,,Percent,2019-2020,44.2
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,Female,,Percent,2019-2020,36.7
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,Female,,Percent,2019-2020,35.7
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,Female,,Percent,2019-2020,34.9
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,Female,,Percent,2019-2020,32.7
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,Female,,Percent,2019-2020,30.6
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,Female,,Percent,2019-2020,30.9
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,Female,,Percent,2019-2020,35.0
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,Female,,Percent,2019-2020,37.3
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,Female,,Percent,2019-2020,36.5
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,Male,,Percent,2019-2020,44.0
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,Male,,Percent,2019-2020,52.8
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,Male,,Percent,2019-2020,41.3
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,Male,,Percent,2019-2020,38.9
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,Male,,Percent,2019-2020,35.4
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,Male,,Percent,2019-2020,36.5
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,Male,,Percent,2019-2020,34.6
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,Male,,Percent,2019-2020,35.7
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,Male,,Percent,2019-2020,34.0
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,Male,,Percent,2019-2020,35.1
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,Male,,Percent,2019-2020,31.9
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,,,Percent,2019-2020,42.2
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,,,Percent,2019-2020,48.4
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,,,Percent,2019-2020,39.1
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,,,Percent,2019-2020,37.3
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,,,Percent,2019-2020,35.2
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,,,Percent,2019-2020,34.6
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,,,Percent,2019-2020,32.6
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,,,Percent,2019-2020,33.4
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,,,Percent,2019-2020,34.5
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,,,Percent,2019-2020,36.2
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Koh Kong,,,Percent,2019-2020,34.2
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kratie,Female,,Percent,2019-2020,39.6
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kratie,Female,,Percent,2019-2020,46.5
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kratie,Female,,Percent,2019-2020,33.8
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kratie,Female,,Percent,2019-2020,34.2
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kratie,Female,,Percent,2019-2020,33.1
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kratie,Female,,Percent,2019-2020,32.0
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kratie,Female,,Percent,2019-2020,31.8
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kratie,Female,,Percent,2019-2020,37.4
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kratie,Female,,Percent,2019-2020,39.5
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kratie,Female,,Percent,2019-2020,37.3
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kratie,Female,,Percent,2019-2020,37.4
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kratie,Male,,Percent,2019-2020,37.7
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kratie,Male,,Percent,2019-2020,42.9
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kratie,Male,,Percent,2019-2020,32.7
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kratie,Male,,Percent,2019-2020,30.9
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kratie,Male,,Percent,2019-2020,29.5
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kratie,Male,,Percent,2019-2020,27.9
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kratie,Male,,Percent,2019-2020,28.0
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kratie,Male,,Percent,2019-2020,30.4
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kratie,Male,,Percent,2019-2020,30.4
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kratie,Male,,Percent,2019-2020,31.5
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kratie,Male,,Percent,2019-2020,28.5
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kratie,,,Percent,2019-2020,38.6
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kratie,,,Percent,2019-2020,44.6
