Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Time period details,Value
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Female,,Percent,2019-2020,74.3
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Female,,Percent,2019-2020,78.4
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Female,,Percent,2019-2020,78.8
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,2019-2020,85.4
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,2019-2020,93.1
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,2019-2020,90.2
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,2019-2020,96.1
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,2019-2020,82.4
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,2019-2020,73.9
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,2019-2020,67.6
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,2019-2020,66.8
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,2019-2020,65.1
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,2019-2020,69.4
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,2019-2020,73.1
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,2019-2020,88.0
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,2019-2020,93.9
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,2019-2020,91.6
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,2019-2020,90.8
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,2019-2020,83.4
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,2019-2020,75.6
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,2019-2020,70.9
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,2019-2020,69.9
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,2019-2020,69.5
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,2019-2020,73.7
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,2019-2020,75.8
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,2019-2020,85.6
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,2019-2020,73.5
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,2019-2020,85.4
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,2019-2020,82.1
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,2019-2020,86.4
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,2019-2020,82.1
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,2019-2020,80.2
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,2019-2020,79.3
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,2019-2020,81.0
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,2019-2020,84.8
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,2019-2020,85.9
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,2019-2020,81.3
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,2019-2020,76.9
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,2019-2020,80.8
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,2019-2020,90.7
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,2019-2020,80.2
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,2019-2020,77.4
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,2019-2020,73.7
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,2019-2020,71.6
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,2019-2020,74.0
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,2019-2020,77.3
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,2019-2020,79.2
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,2019-2020,83.4
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,2019-2020,75.2
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,2019-2020,83.0
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,2019-2020,86.5
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,2019-2020,83.2
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,2019-2020,79.7
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,2019-2020,76.8
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,2019-2020,75.3
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,2019-2020,77.4
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,2019-2020,80.9
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,2019-2020,82.4
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,2019-2020,82.2
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,2019-2020,84.0
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,2019-2020,91.6
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,2019-2020,88.1
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,2019-2020,94.4
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,2019-2020,92.1
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,2019-2020,87.8
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,2019-2020,88.8
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,2019-2020,88.1
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,2019-2020,91.4
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,2019-2020,91.9
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,2019-2020,81.5
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,2019-2020,77.9
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,2019-2020,91.9
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,2019-2020,97.3
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,2019-2020,92.4
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,2019-2020,86.8
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,2019-2020,80.9
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,2019-2020,79.4
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,2019-2020,81.2
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,2019-2020,82.8
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,2019-2020,83.1
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,2019-2020,81.8
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,2019-2020,80.9
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,2019-2020,91.8
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,2019-2020,92.8
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,2019-2020,93.4
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,2019-2020,89.4
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,2019-2020,84.2
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,2019-2020,84.0
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,2019-2020,84.6
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,2019-2020,87.0
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,2019-2020,87.4
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,2019-2020,88.0
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,2019-2020,97.9
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,2019-2020,89.9
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,2019-2020,88.9
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,2019-2020,91.4
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,2019-2020,90.2
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,2019-2020,87.7
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,2019-2020,84.5
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,2019-2020,85.3
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,2019-2020,87.7
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,2019-2020,87.8
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,2019-2020,82.2
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,2019-2020,94.4
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,2019-2020,85.0
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,2019-2020,94.9
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,2019-2020,84.1
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,2019-2020,84.1
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,2019-2020,77.9
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,2019-2020,79.0
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,2019-2020,76.8
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,2019-2020,78.0
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,2019-2020,79.2
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,2019-2020,85.1
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,2019-2020,96.1
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,2019-2020,87.4
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,2019-2020,92.0
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,2019-2020,87.7
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,2019-2020,87.1
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,2019-2020,82.7
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,2019-2020,81.7
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,2019-2020,80.9
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,2019-2020,82.8
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,2019-2020,83.4
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,2019-2020,86.4
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,2019-2020,94.8
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,2019-2020,88.3
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,2019-2020,88.6
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,2019-2020,94.4
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,2019-2020,88.6
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,2019-2020,82.6
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,2019-2020,83.4
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,2019-2020,78.4
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,2019-2020,86.4
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,2019-2020,87.3
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,2019-2020,84.5
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,2019-2020,103.5
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,2019-2020,92.2
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,2019-2020,96.6
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,2019-2020,94.0
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,2019-2020,88.2
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,2019-2020,79.3
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,2019-2020,77.0
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,2019-2020,78.6
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,2019-2020,80.3
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,2019-2020,80.7
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,2019-2020,85.5
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,2019-2020,99.1
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,2019-2020,90.2
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,2019-2020,92.7
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,2019-2020,94.2
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,2019-2020,88.4
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,2019-2020,80.9
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,2019-2020,80.2
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,2019-2020,78.5
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,2019-2020,83.3
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,2019-2020,84.0
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,2019-2020,79.3
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,2019-2020,83.4
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,2019-2020,86.4
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,2019-2020,82.7
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,2019-2020,87.2
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,2019-2020,83.1
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,2019-2020,83.4
